adresse,da,hausnummer,name,objectid,ort,plz,poi_id,strasse,zvv_label,geometry
Limmatstrasse 364; 366; 372; 380; 388,Alterswohnung,,Siedlung Frankental,7640,Zürich,8049,aw019,Limmatstrasse ,Limmatstrasse  ,POINT (2678894 1250995.9)
Nordstrasse 97+101,Alterswohnung,97+101,Siedlung Letten,7641,Zürich,8037,aw020,Nordstrasse ,Nordstrasse  97+101,POINT (2682779 1249273.9)
Hönggerstrasse 129,Alterswohnung,129,Siedlung Sydefädeli,7642,Zürich,8037,aw021,Hönggerstrasse ,Hönggerstrasse  129,POINT (2681379 1249943.9)
Neunbrunnenstrasse 6; 10; 14; 16 / Weisshau 8 / Felsenrainstrasse 35,Alterswohnung,,Siedlung Felsenrain,7643,Zürich,8050,aw023,Neunbrunnenstrasse ,Neunbrunnenstrasse  ,POINT (2683333 1252471.9)
Wolfswinkel 7,Alterswohnung,7,Siedlung Unteraffoltern,7644,Zürich,8046,aw024,Wolfswinkel ,Wolfswinkel  7,POINT (2681095 1253085.9)
Helen Keller-Strasse 6,Alterswohnung,,Siedlung Helen Keller,7645,Zürich,8051,aw025,Helen ,Helen  ,POINT (2687117 1250571.9)
Hirzenbachstrasse 85,Alterswohnung,85,Siedlung Hirzenbach,7646,Zürich,8051,aw026,Hirzenbachstrasse,Hirzenbachstrasse 85,POINT (2686656 1251170)
Norastrasse 30,Alterswohnung,30,Siedlung Hardau,7647,Zürich,8004,aw005,Norastrasse ,Norastrasse  30,POINT (2680800 1248337.9)
Konradstrasse 65,Alterswohnung,65,Siedlung Konradstrasse,7648,Zürich,8005,aw006,Konradstrasse ,Konradstrasse  65,POINT (2682710 1248441.9)
Feldblumenstrasse 9,Alterswohnung,9,Siedlung Krone Altstetten,7729,Zürich,8048,aw030,Feldblumenstrasse ,Feldblumenstrasse  9,POINT (2678844 1249083.9)
Ecke Regensdorferstrasse / Im Stelzenacker,Alterswohnung,,Siedlung Grünwald (ab ca. 2015),7731,Zürich,8049,aw032,,"Zürich, Grünwald",POINT (2678815 1252171.9)
"Wehntalerstr. 440, Neuwiesenstr. 9, Einfangstr.10, Riedenhaldenstr. 90",Alterswohnung,,Siedlung Frieden,7732,Zürich,8046,aw033,Wehntalerstr. ,Wehntalerstr.  ,POINT (2681132.8 1252247.8)
Feldstrasse 110,Alterswohnung,110,Siedlung Feldstrasse,7733,Zürich,8036,aw022,Feldstrasse,Feldstrasse 110,POINT (2681938 1248142)
Baurstrasse 11,Alterswohnung,11,Siedlung Dufourstrasse,7734,Zürich,8008,aw034,Baurstrasse,Baurstrasse 11,POINT (2684231 1245574.9)
