adresse,da,name,objectid,plz,poi_id,gsz_id,geometry,geometry
"Bellerivestrasse, Zürichhornanlage                                    ",Grün Stadt Zürich,Blatterwiese                                                          ,10550,8008,sp058,58,POINT Z (2684059 1245541.9 0),POINT Z (2684059 1245541.9 0)
Buchenweg/Buchensteig                                                 ,Grün Stadt Zürich,Buchenweg                                                             ,10551,8008,sp057,57,POINT Z (2685485 1245792.8 0),POINT Z (2685485 1245792.8 0)
Seefeldstrasse 109                                                    ,Grün Stadt Zürich,GZ Riesbach (A)                                               ,10552,8008,sp056,56,POINT Z (2684237 1245946 0),POINT Z (2684237 1245946 0)
Drahtzugstrasse                                                       ,Grün Stadt Zürich,Drahtzugstrasse                                                       ,10553,8008,sp055,55,POINT Z (2685051 1246037.9 0),POINT Z (2685051 1246037.9 0)
Neumünsterstrasse 16 (Spielplatz)                                     ,Grün Stadt Zürich,Neumünsteranlage                                                      ,10554,8008,sp054,54,POINT Z (2684643.5 1246118.6 0),POINT Z (2684643.5 1246118.6 0)
Kürbergsteig                                                          ,Grün Stadt Zürich,Kürberganlage                                                         ,10560,8049,sp128,128,POINT Z (2680649 1250299.9 0),POINT Z (2680649 1250299.9 0)
Bullingerstrasse/ Hardauweg                                           ,Grün Stadt Zürich,Hardau                                                                ,10561,8004,sp125,125,POINT Z (2680852.8 1248568.9 0),POINT Z (2680852.8 1248568.9 0)
Strickhofstrasse                                                      ,Grün Stadt Zürich,Alfred-Altherr-Terrasse                                               ,10567,8057,sp036,36,POINT Z (2684082 1249962.9 0),POINT Z (2684082 1249962.9 0)
Stampfenbachstrasse 116-130                                           ,Grün Stadt Zürich,Beckenhof                                                             ,10568,8006,sp034,34,POINT Z (2683194 1248881.9 0),POINT Z (2683194 1248881.9 0)
Zeuner-/Kyburg-/Landenbergstrasse                                     ,Grün Stadt Zürich,Landenberganlage                                                      ,10569,8037,sp032,32,POINT Z (2682193 1249599.9 0),POINT Z (2682193 1249599.9 0)
Ampèrestrasse                                                         ,Grün Stadt Zürich,GZ Wipkingen                                                          ,10570,8037,sp031,31,POINT Z (2681653 1249675.9 0),POINT Z (2681653 1249675.9 0)
Lommisweg                                                             ,Grün Stadt Zürich,Lommisweg B                                                           ,10614,8048,sp096b,0096B,POINT Z (2679115 1249311.5 0),POINT Z (2679115 1249311.5 0)
Lommisweg                                                             ,Grün Stadt Zürich,Lommisweg A                                                           ,10615,8048,sp096a,0096A,POINT Z (2679144 1249436.6 0),POINT Z (2679144 1249436.6 0)
Scheideggstrasse                                                      ,Grün Stadt Zürich,Rieterpark - Scheideggstrasse                                         ,10616,8002,sp078b,0078B,POINT Z (2682409.5 1245630.1 0),POINT Z (2682409.5 1245630.1 0)
Gabler-/Grütlistrasse                                                 ,Grün Stadt Zürich,Rieterpark - Gablerstrasse                                            ,10617,8002,sp078a,0078A,POINT Z (2682563.8 1245957.4 0),POINT Z (2682563.8 1245957.4 0)
Döltschiweg                                                           ,Grün Stadt Zürich,Heuried Freizeitanlage                                                ,10618,8055,sp074b,0074B,POINT Z (2680472.2 1246780.8 0),POINT Z (2680472.2 1246780.8 0)
,Grün Stadt Zürich,Landiwiese,10621,8038,sp9485,197,POINT Z (2682874 1244876 0),POINT Z (2682874 1244876 0)
Neugasse/Josef-/Ottostrasse                                           ,Grün Stadt Zürich,Josefswiese                                                           ,10622,8005,sp099,99,POINT Z (2681845.8 1248909.5 0),POINT Z (2681845.8 1248909.5 0)
Eugen Huber-/Loogartenstrasse                                         ,Grün Stadt Zürich,GZ Loogarten                                                          ,10623,8048,sp098,98,POINT Z (2678035.2 1249103.5 0),POINT Z (2678035.2 1249103.5 0)
Klopstockstrasse                                                      ,Grün Stadt Zürich,Klopstockwiese                                                        ,10624,8002,sp077,77,POINT Z (2681990.8 1246293.8 0),POINT Z (2681990.8 1246293.8 0)
Schweighofstrasse/Döltschiweg                                         ,Grün Stadt Zürich,Känguruhwiese                                                         ,10625,8055,sp076,76,POINT Z (2680275.8 1246417.2 0),POINT Z (2680275.8 1246417.2 0)
Roswiesenstrasse                                                      ,Grün Stadt Zürich,Roswiesen                                                             ,10629,8051,sp017,17,POINT Z (2685972 1251125.8 0),POINT Z (2685972 1251125.8 0)
Herzogenmühlestrasse                                                  ,Grün Stadt Zürich,Herzogenmühle                                                         ,10630,8051,sp016,16,POINT Z (2685590.5 1251129.5 0),POINT Z (2685590.5 1251129.5 0)
Föhrenstrasse                                                         ,Grün Stadt Zürich,Föhrenwald                                                            ,10631,8050,sp015,15,POINT Z (2683251 1251139.9 0),POINT Z (2683251 1251139.9 0)
Saatlenstrasse                                                        ,Grün Stadt Zürich,Saatlen-Grünzug                                                       ,10632,8051,sp014,14,POINT Z (2685267 1251186.8 0),POINT Z (2685267 1251186.8 0)
Althoosstrasse                                                        ,Grün Stadt Zürich,Althoos                                                               ,10633,8046,sp012,12,POINT Z (2681723 1251635.9 0),POINT Z (2681723 1251635.9 0)
Riedgrabenweg                                                         ,Grün Stadt Zürich,Schörli-Grünzug                                                       ,10634,8050,sp011,11,POINT Z (2684649.2 1251637.6 0),POINT Z (2684649.2 1251637.6 0)
Loogartenstrasse/Am Suteracher                                        ,Grün Stadt Zürich,Am Suteracher                                                         ,10674,8048,sp097,97,POINT Z (2678090 1249271.9 0),POINT Z (2678090 1249271.9 0)
