adresse,da,name,objectid,plz,poi_id,gsz_id,geometry,geometry
Aemtlerstrasse                                                        ,Grün Stadt Zürich,Aemtleranlage                                                         ,11059,8003,sp067,67,POINT Z (2681001 1247554.9 0),POINT Z (2681001 1247554.9 0)
Sihlfeld-/Zentral-/Gertrudstrasse                                     ,Grün Stadt Zürich,Gertrudplatz                                                          ,11060,8003,sp066,66,POINT Z (2681431 1247582.9 0),POINT Z (2681431 1247582.9 0)
Lindenhofstrasse                                                      ,Grün Stadt Zürich,Lindenhof                                                             ,11061,8001,sp065,65,POINT Z (2683213.2 1247504.9 0),POINT Z (2683213.2 1247504.9 0)
Oetenbachgasse/Lindenhofstrasse                                       ,Grün Stadt Zürich,Urania                                                                ,11062,8001,sp064,64,POINT Z (2683268.2 1247552.1 0),POINT Z (2683268.2 1247552.1 0)
Zurlindenstrasse 235                                                  ,Grün Stadt Zürich,Zurlindenhof II                                                       ,11063,8003,sp063,63,POINT Z (2681115.8 1247714 0),POINT Z (2681115.8 1247714 0)
Zurlindenstrasse 232 (Spielplatz)                                     ,Grün Stadt Zürich,Zurlindenhof I                                                        ,11064,8003,sp062,62,POINT Z (2681189.2 1247786 0),POINT Z (2681189.2 1247786 0)
Fritschi-/Badener-/Zypressenstrasse                                   ,Grün Stadt Zürich,Fritschiwiese                                                         ,11065,8003,sp061,61,POINT Z (2681065.5 1247800 0),POINT Z (2681065.5 1247800 0)
Sunnige Hof 34a,Grün Stadt Zürich,Suunige Hof / Weibelackerstrasse,11107,,sp9575,170,POINT Z (2686722 1250449 0),POINT Z (2686722 1250449 0)
Opfikonstrasse,Tiefbauamt,Opfikonstrasse,11362,,sp9104,6,POINT Z (2685358 1252511 0),POINT Z (2685358 1252511 0)
Hegianwandweg 127,Grün Stadt Zürich,Frauental Tennisanlag,11363,8045,sp9105,30,POINT Z (2680711 1245370 0),POINT Z (2680711 1245370 0)
Bachwiesen Grünzug,Grün Stadt Zürich,Bachwiesen Grünzug,11364,,sp9106,112,POINT Z (2679119 1247808 0),POINT Z (2679119 1247808 0)
Quartierpark Schütze-Areal,Grün Stadt Zürich,Quartierpark Schütze (A) ,11430,8005,sp9568,0151A,POINT Z (2681913 1249300 0),POINT Z (2681913 1249300 0)
Quartierpark Schütze-Areal,Grün Stadt Zürich,Quartierpark Schütze (B),11433,8005,sp9569,0151B,POINT Z (2681913 1249300 0),POINT Z (2681913 1249300 0)
,Grün Stadt Zürich,GZ Riesbach (B),11434,8008,sp9570,150,POINT Z (2684286 1245967 0),POINT Z (2684286 1245967 0)
Bachtoblerpark,Grün Stadt Zürich,Bachtoblerpark,11435,,sp9571,152,POINT Z (2681458 1246145 0),POINT Z (2681458 1246145 0)
Zollikerstrasse,Grün Stadt Zürich,Seeburgpark,11436,,sp9572,153,POINT Z (2684420 1246125 0),POINT Z (2684420 1246125 0)
Ueberlandstrasse 489,Grün Stadt Zürich,Buchegg Tennisanlage,11437,8051,sp9573,167,POINT Z (2687307 1251175 0),POINT Z (2687307 1251175 0)
Regensdorferstrasse 237,Grün Stadt Zürich,Grünwald,11438,,sp9574,169,POINT Z (2678784 1252423 0),POINT Z (2678784 1252423 0)
Glaubten-Müsel,Grün Stadt Zürich,Glaubten-Müsel (Nord),11464,,sp9622,0088A,POINT Z (2680995 1251366 0),POINT Z (2680995 1251366 0)
,Grün Stadt Zürich,Glaubten-Müseli (Süd),11465,8049,sp9623,0088B,POINT Z (2681027 1251301 0),POINT Z (2681027 1251301 0)
Hallwylstreasse / Schimmelstrasse,Grün Stadt Zürich,Hallwylstreasse / Schimmelstrasse,11466,,sp9624,TAZ001,POINT Z (2682144 1247107 0),POINT Z (2682144 1247107 0)
Steinstrasse / Gotthelfstrasse ,Grün Stadt Zürich,Steinstrasse / Gotthelfstrasse,11470,,sp9642,TAZ005,POINT Z (2681661 1246988 0),POINT Z (2681661 1246988 0)
Weststrasse / Werdstrasse,Grün Stadt Zürich,Weststrasse / Werdstrasse,11471,,sp9643,TAZ003,POINT Z (2681955 1247062 0),POINT Z (2681955 1247062 0)
Steinstrasse / Erlachstrasse,Grün Stadt Zürich,Steinstrasse / Erlachstrasse,11472,,sp9644,TAZ006,POINT Z (2681688 1246823 0),POINT Z (2681688 1246823 0)
Manesseplatz,Grün Stadt Zürich,Manesseplatz,11473,,sp9645,TAZ007,POINT Z (2681806 1246667 0),POINT Z (2681806 1246667 0)
Eibenstrasse / Manessestrasse,Grün Stadt Zürich,Eibenstrasse / Manessestrasse,11474,,sp9646,171,POINT Z (2681828 1246440 0),POINT Z (2681828 1246440 0)
Staffelstrasse,Grün Stadt Zürich,Staffelstrasse 8,11499,,sp9647,TAZ009,POINT Z (2681811 1246186 0),POINT Z (2681811 1246186 0)
Zurlindenstrasse (Eingang SPPL),Grün Stadt Zürich,Zurlindenstrasse (Eingang SPPL),11500,,sp9648,TAZ010,POINT Z (2681828 1246996 0),POINT Z (2681828 1246996 0)
Überdeckung Katzensee,Grün Stadt Zürich,Überdeckung Katzensee,11675,,sp9022,198,POINT Z (2679960 1253434 0),POINT Z (2679960 1253434 0)
